,index,STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,LAT_SCALED,LON_SCALED,TUPLES
508,580,WBAN:24103,"DUGWAY PROVING GROUNDS, UT US",2006-01-02,2018-08-15,Utah,United States,40.18333,-112.93333,1325.6,7,8,"(8, 7)"
511,584,WBAN:03070,"DUMAS MOORE CO AIRPORT, TX US",2005-12-31,2018-08-18,Texas,United States,35.858059999999995,-102.01306,1129.3,11,15,"(15, 11)"
512,585,WBAN:14747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",1998-12-31,2018-08-18,New York,United States,42.49333,-79.27221999999998,203.0,5,31,"(31, 5)"
513,586,WBAN:00298,"DUPONT LAPEER AIRPORT, MI US",2012-12-31,2018-08-18,Michigan,United States,43.067,-83.26700000000002,254.2,5,29,"(29, 5)"
517,592,WBAN:03809,"DYERSBURG MUNICIPAL AIRPORT, TN US",1943-04-11,2018-08-18,Tennessee,United States,36.0002,-89.4094,91.4,11,24,"(24, 11)"
518,595,WBAN:23063,"EAGLE CO AIRPORT, CO US",1956-12-31,2018-08-18,Colorado,United States,39.65,-106.91667,1980.3,8,12,"(12, 8)"
519,596,WBAN:00480,"EAGLE RANGE WEATHER SERVICE OFFICE, UT US",2014-07-30,2018-08-16,Utah,United States,41.05,-113.06,1292.0,7,7,"(7, 7)"
522,599,WBAN:00254,EAST CAMERON 278 OIL PLATFORM,2013-12-31,2018-08-18,,,28.433000000000003,-92.883,224.0,18,22,"(22, 18)"
528,606,WBAN:14991,"EAU CLAIRE REGIONAL AIRPORT, WI US",1956-12-31,2018-08-18,Wisconsin,United States,44.8665,-91.4879,269.7,3,23,"(23, 3)"
531,609,WBAN:23114,"EDWARDS AFB, CA US",1941-11-30,2018-08-18,California,United States,34.9,-117.86667,704.4,12,4,"(4, 12)"
532,610,WBAN:93816,"EFFINGHAM CO MEMORIAL AIRPORT, IL US",2005-12-31,2018-08-18,Illinois,United States,39.07028,-88.53332999999998,178.9,8,25,"(25, 8)"
534,612,WBAN:93992,"EL DORADO S AR REGIONAL AIRPORT, AR US",1972-12-31,2018-08-18,Arkansas,United States,33.22083,-92.81417,76.8,14,22,"(22, 14)"
536,614,WBAN:23044,"EL PASO INTERNATIONAL AIRPORT, TX US",1941-03-31,2018-08-18,Texas,United States,31.81111,-106.37583000000001,1194.2,15,12,"(12, 15)"
539,618,WBAN:00182,"ELBOW LAKE MUNICIPAL PRIDE OF THE PRAIRIE AIRPORT, MN US",2014-07-30,2018-08-18,Minnesota,United States,45.986,-95.992,367.3,2,20,"(20, 2)"
541,620,WBAN:13786,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",1948-12-31,2018-08-18,North Carolina,United States,36.26056,-76.175,4.0,11,34,"(34, 11)"
542,621,WBAN:00210,"ELIZABETHTON MUNICIPAL AIRPORT, TN US",2014-07-30,2018-08-18,Tennessee,United States,36.367,-82.167,486.2,11,29,"(29, 11)"
546,625,WBAN:93076,"ELKHART, KS US",2005-12-31,2018-08-18,Kansas,United States,37.0,-101.88333,1105.8,10,15,"(15, 10)"
547,626,WBAN:03733,"ELKINS 21 ENE, WV US",2003-11-16,2018-08-16,West Virginia,United States,39.01300000000001,-79.4743,1033.3,8,31,"(31, 8)"
549,628,WBAN:24121,"ELKO REGIONAL AIRPORT, NV US",1956-12-31,2018-08-18,Nevada,United States,40.8288,-115.7886,1533.1,7,6,"(6, 7)"
550,629,WBAN:24220,"ELLENSBURG BOWERS FIELD, WA US",1988-01-05,2018-08-18,Washington,United States,47.03389,-120.53028,538.3,1,2,"(2, 1)"
551,630,WBAN:24006,"ELLSWORTH AFB, SD US",1939-01-31,2018-08-18,South Dakota,United States,44.15,-103.1,999.1,4,15,"(15, 4)"
552,631,WBAN:14748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",1972-12-31,2018-08-18,New York,United States,42.159440000000004,-76.89193999999998,291.1,6,33,"(33, 6)"
553,632,WBAN:23154,"ELY AIRPORT, NV US",1956-12-31,2018-08-18,Nevada,United States,39.2952,-114.8466,1908.7,8,6,"(6, 8)"
556,635,WBAN:13989,"EMPORIA ASOS, KS US",1972-12-31,2018-08-18,Kansas,United States,38.3291,-96.1946,364.5,9,19,"(19, 9)"
559,638,WBAN:53986,"ENID WOODRING AIRPORT, OK US",2005-12-31,2018-08-18,Oklahoma,United States,36.38333,-97.8,355.7,11,18,"(18, 11)"
560,639,WBAN:24141,"EPHRATA MUNICIPAL AIRPORT, WA US",1941-12-31,2018-08-18,Washington,United States,47.3078,-119.5154,381.6,1,3,"(3, 1)"
564,643,WBAN:94853,"ESCANABA DELTA CO AIRPORT, MI US",2005-12-31,2018-08-18,Michigan,United States,45.73333,-87.08332999999998,181.1,3,26,"(26, 3)"
565,644,WBAN:94971,"ESTHERVILLE MUNICIPAL AIRPORT, IA US",2005-12-31,2018-08-18,Iowa,United States,43.40111,-94.74722,401.4,5,20,"(20, 5)"
567,646,WBAN:00304,EUGENE ISLAND OIL PLATFORM,2012-12-31,2018-08-18,,,28.633000000000006,-91.48299999999999,28.0,18,23,"(23, 18)"
568,647,WBAN:24221,"EUGENE MAHLON SWEET FIELD, OR US",1956-12-31,2018-08-18,Oregon,United States,44.1278,-123.2206,107.6,4,0,"(0, 4)"
570,649,WBAN:03170,"EUREKA AIRPORT, NV US",2005-12-31,2018-08-18,Nevada,United States,39.6013,-116.0055,1809.3,8,5,"(5, 8)"
571,650,WBAN:24213,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",2005-12-31,2018-08-17,California,United States,40.8097,-124.1602,6.1000000000000005,7,0,"(0, 7)"
572,651,WBAN:04111,"EVANSTON UINTA CO BURNS FIELD, WY US",1972-12-31,2018-08-18,Wyoming,United States,41.27306,-111.03056000000001,2183.3,7,9,"(9, 7)"
577,656,WBAN:24114,"FAIRCHILD AFB, WA US",1940-03-31,2018-08-18,Washington,United States,47.63333,-117.65,750.1,1,4,"(4, 1)"
578,657,WBAN:00220,"FAIRFIELD CO AIRPORT, SC US",2013-12-31,2018-08-18,South Carolina,United States,34.315000000000005,-81.10900000000002,176.20000000000005,13,30,"(30, 13)"
579,658,WBAN:04925,"FAIRFIELD MUNICIPAL AIRPORT, IA US",2005-12-31,2018-08-18,Iowa,United States,41.05306,-91.97889,243.5,7,22,"(22, 7)"
582,662,WBAN:94056,"FAITH MUNICIPAL AIRPORT, SD US",2005-12-31,2018-08-18,South Dakota,United States,45.031940000000006,-102.01916999999999,786.4,3,15,"(15, 3)"
583,663,WBAN:00270,"FAITH RANCH AIRPORT, TX US",2014-01-06,2018-08-18,Texas,United States,28.209,-100.01899999999999,236.2,18,17,"(17, 18)"
584,665,WBAN:93102,"FALLON NAAS, NV US",1956-12-31,2018-08-18,Nevada,United States,39.41667,-118.71667,1199.1,8,3,"(3, 8)"
585,666,WBAN:94957,"FALLS CITY BRENNER FIELD, NE US",1999-12-31,2018-08-18,Nebraska,United States,40.08028,-95.59194000000001,298.7,8,20,"(20, 8)"
589,670,WBAN:94969,"FARIBAULT MUNICIPAL AIRPORT, MN US",2005-12-31,2018-08-18,Minnesota,United States,44.33333,-93.31667,323.1,4,21,"(21, 4)"
591,672,WBAN:23090,"FARMINGTON FOUR CORNERS REGIONAL AIRPORT, NM US",1956-12-31,2018-08-18,New Mexico,United States,36.74361,-108.22917,1674.9,10,11,"(11, 10)"
592,673,WBAN:93996,"FARMINGTON REGIONAL AIRPORT, MO US",1995-02-09,2018-08-18,Missouri,United States,37.76083,-90.42833,288.6,10,23,"(23, 10)"
593,674,WBAN:03707,"FARMVILLE REGIONAL AIRPORT, VA US",2005-12-31,2018-08-18,Virginia,United States,37.3575,-78.43777999999998,127.1,10,32,"(32, 10)"
598,679,WBAN:53922,"FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT, AR US",2005-12-31,2018-08-18,Arkansas,United States,36.28333,-94.3,392.3,11,21,"(21, 11)"
599,680,WBAN:13762,"FENTRESS NAVAL AUXILIARY FIELD, VA US",2007-05-31,2018-08-18,Virginia,United States,36.695,-76.13556,4.9,10,34,"(34, 10)"
600,681,WBAN:94966,"FERGUS FALLS AIRPORT, MN US",2005-12-31,2018-08-18,Minnesota,United States,46.28333,-96.15,360.6,2,19,"(19, 2)"
601,682,WBAN:00326,"FERNANDINA BEACH MUNICIPAL AIRPORT, FL US",2013-12-31,2018-08-18,Florida,United States,30.616999999999997,-81.467,5.2,16,30,"(30, 16)"
602,683,WBAN:00237,"FIELD OF DREAMS AIRPORT, MN US",2014-07-30,2018-08-18,Minnesota,United States,46.023,-92.895,311.2,2,22,"(22, 2)"
603,684,WBAN:14825,"FINDLAY AIRPORT, OH US",1972-12-31,2018-08-18,Ohio,United States,41.01361,-83.66861,243.8,7,28,"(28, 7)"
604,685,WBAN:04780,"FITCHBURG MUNICIPAL AIRPORT, MA US",1956-12-31,2018-08-18,Massachusetts,United States,42.55194,-71.75583,106.1,5,37,"(37, 5)"
607,688,WBAN:00485,"FLAGLER CO AIRPORT, FL US",2012-12-31,2018-08-17,Florida,United States,29.46738,-81.20633000000001,10.1,17,30,"(30, 17)"
612,693,WBAN:53889,"FLORA MUNICIPAL AIRPORT, IL US",2005-12-31,2018-08-18,Illinois,United States,38.66472,-88.45277999999998,143.9,9,25,"(25, 9)"
617,698,WBAN:13829,"FORT BENNING LAWSON FIELD, AL US",1939-04-30,2018-08-18,Alabama,United States,32.35,-85.0,70.7,14,27,"(27, 14)"
620,701,WBAN:00449,"FORT BRIDGER AIRPORT, WY US",2013-07-31,2018-08-18,Wyoming,United States,41.39333,-110.40597,2145.5,6,9,"(9, 6)"
621,702,WBAN:13806,"FORT CAMPBELL ARMY AIR FIELD, KY US",1943-07-14,2018-08-18,Kentucky,United States,36.66667,-87.48333000000001,174.70000000000005,11,26,"(26, 11)"
622,703,WBAN:94015,"FORT CARSON BUTTS ARMY AIR FIELD, CO US",1966-09-14,2018-08-18,Colorado,United States,38.67833,-104.75667,1779.4,9,13,"(13, 9)"
624,705,WBAN:94933,"FORT DODGE OZARK AIRLINES, IA US",2005-12-31,2018-08-18,Iowa,United States,42.55,-94.18333,352.3,5,21,"(21, 5)"
628,709,WBAN:03124,"FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US",1954-10-10,2018-08-18,Arizona,United States,31.58833,-110.34416999999999,1438.4,15,9,"(9, 15)"
631,712,WBAN:00162,"FORT MORGAN MUNICIPAL AIRPORT, CO US",2013-12-31,2018-08-18,Colorado,United States,40.333,-103.8,1393.2,7,14,"(14, 7)"
632,713,WBAN:63847,"FORT PAYNE ISBELL FIELD, AL US",2005-12-31,2018-08-18,Alabama,United States,34.473890000000004,-85.72139,267.3,12,27,"(27, 12)"
633,714,WBAN:12895,"FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US",2005-12-31,2018-08-17,Florida,United States,27.49806,-80.37666999999998,7.3,19,31,"(31, 19)"
635,716,WBAN:53988,"FORT POLK FULLERTON LANDING STRIP, LA US",2005-12-31,2018-08-18,Louisiana,United States,31.021700000000006,-92.9107,94.5,15,22,"(22, 15)"
636,718,WBAN:13947,"FORT RILEY MARSHALL ARMY AIR FIELD, KS US",1938-08-16,2018-08-18,Kansas,United States,39.05,-96.76667,324.6,8,19,"(19, 8)"
637,720,WBAN:53861,"FORT RUCKER LOWE ARMY HELIPORT, AL US",2008-07-16,2018-08-18,Alabama,United States,31.35583,-85.75111,74.4,15,27,"(27, 15)"
639,722,WBAN:13964,"FORT SMITH REGIONAL AIRPORT, AR US",1946-12-31,2018-08-18,Arkansas,United States,35.333,-94.3625,136.9,12,21,"(21, 12)"
640,723,WBAN:03875,"FORT STEWART WRIGHT, GA US",2006-01-02,2018-08-18,Georgia,United States,31.88333,-81.56667,13.7,15,30,"(30, 15)"
641,724,WBAN:23091,"FORT STOCKTON PECOS CO AIRPORT, TX US",2005-12-31,2018-08-18,Texas,United States,30.91194,-102.91667,917.4,16,15,"(15, 16)"
642,725,WBAN:14827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",1941-10-31,2018-08-18,Indiana,United States,40.9705,-85.2063,241.1,7,27,"(27, 7)"
646,729,WBAN:04929,"FOSSTON MUNICIPAL AIRPORT, MN US",2005-12-31,2018-08-18,Minnesota,United States,47.59278,-95.77528000000001,389.2,1,20,"(20, 1)"
647,731,WBAN:53841,"FRANKFORT CAPITAL CITY AIRPORT, KY US",2005-12-31,2018-08-18,Kentucky,United States,38.18472,-84.90333000000001,245.1,9,27,"(27, 9)"
648,732,WBAN:54818,"FRANKFORT DOW MEMORIAL FIELD AIRPORT, MI US",2005-12-31,2018-08-18,Michigan,United States,44.62556,-86.20083000000001,192.6,4,26,"(26, 4)"
649,733,WBAN:00152,"FRANKLIN CO STATE AIRPORT, VT US",2008-03-31,2018-08-18,Vermont,United States,44.933,-73.10000000000002,70.10000000000001,3,36,"(36, 3)"
651,735,WBAN:94868,"FRANKLIN, PA US",1967-12-31,2018-08-18,Pennsylvania,United States,41.38333,-79.86667,469.4,6,31,"(31, 6)"
653,737,WBAN:03981,"FREDERICK MUNICIPAL AIRPORT, OK US",2005-12-31,2018-08-18,Oklahoma,United States,34.344440000000006,-98.98306,382.5,13,17,"(17, 13)"
654,738,WBAN:93947,"FREDERICKSBURG GILLESPIE CO AIRPORT, TX US",2005-12-31,2018-08-18,Texas,United States,30.24333,-98.90972,516.6,16,17,"(17, 16)"
655,739,WBAN:03706,"FREDERICKSBURG SHANNON AIRPORT, VA US",2005-12-31,2018-08-18,Virginia,United States,38.26667,-77.44917,25.9,9,33,"(33, 9)"
656,740,WBAN:04876,"FREEPORT ALBERTUS AIRPORT, IL US",2005-12-31,2018-08-18,Illinois,United States,42.246109999999994,-89.58221999999998,261.8,6,24,"(24, 6)"
658,742,WBAN:04924,"FREMONT MUNICIPAL AIRPORT, NE US",2005-12-31,2018-08-18,Nebraska,United States,41.448890000000006,-96.52,366.7,6,19,"(19, 6)"
659,743,WBAN:04836,"FRENCHVILLE NORTHERN AROOSTOOK AIRPORT, ME US",2005-12-31,2018-08-18,Maine,United States,47.28556,-68.31333000000001,301.1,1,39,"(39, 1)"
660,744,WBAN:93193,"FRESNO YOSEMITE INTERNATIONAL, CA US",1941-12-03,2018-08-18,California,United States,36.78,-119.7194,101.5,10,3,"(3, 10)"
661,745,WBAN:94276,"FRIDAY HARBOR AIRPORT, WA US",2005-12-31,2018-08-18,Washington,United States,48.522220000000004,-123.02306000000002,33.2,0,0,"(0, 0)"
662,746,WBAN:00450,"FRONT RANGE AIRPORT, CO US",2013-12-31,2018-08-18,Colorado,United States,39.7842,-104.5376,1680.4,8,13,"(13, 8)"
663,747,WBAN:54772,"FRYEBURG EASTERN SLOPES REGL AIRPORT, ME US",2005-12-31,2018-08-18,Maine,United States,43.99056,-70.9475,135.6,4,37,"(37, 4)"
665,749,WBAN:00265,"FULTON CO AIRPORT, IN US",2013-12-31,2018-08-18,Indiana,United States,41.066,-86.182,241.1,7,26,"(26, 7)"
667,752,WBAN:03896,"GADSDEN MUNICIPAL AIRPORT, AL US",2005-12-31,2018-08-18,Alabama,United States,33.96667,-86.08332999999998,173.4,13,27,"(27, 13)"
668,753,WBAN:13975,"GAGE AIRPORT, OK US",1956-12-31,2018-08-18,Oklahoma,United States,36.2967,-99.7689,667.8000000000002,11,17,"(17, 11)"
669,754,WBAN:03056,"GAINES CO AIRPORT, TX US",2005-12-31,2018-08-18,Texas,United States,32.67528,-102.65444000000001,1010.4,14,15,"(15, 14)"
673,759,WBAN:93764,"GAITHERSBURG MONTGOMERY CO AIR PARK, MD US",2013-12-31,2018-08-18,Maryland,United States,39.16667,-77.16667,164.3,8,33,"(33, 8)"
674,760,WBAN:94959,"GALESBURG MUNICIPAL AIRPORT, IL US",2005-12-31,2018-08-18,Illinois,United States,40.93333,-90.43333,232.9,7,23,"(23, 7)"
675,761,WBAN:12993,"GALLIANO SOUTH LAFOURCHE AIRPORT, LA US",2005-12-31,2018-08-18,Louisiana,United States,29.44472,-90.26111,0.3,17,24,"(24, 17)"
676,762,WBAN:23081,"GALLUP MUNICIPAL AIRPORT, NM US",1972-12-31,2018-08-18,New Mexico,United States,35.5144,-108.794,1972.4,12,10,"(10, 12)"
678,765,WBAN:23064,"GARDEN CITY REGIONAL AIRPORT, KS US",1943-01-31,2018-08-18,Kansas,United States,37.92722,-100.72471999999999,878.4,9,16,"(16, 9)"
680,767,WBAN:94041,"GARRISON, ND US",2005-12-31,2018-08-18,North Dakota,United States,47.64583,-101.43944,582.2,1,16,"(16, 1)"
681,768,WBAN:04807,"GARY, IN US",2005-12-31,2018-08-18,Indiana,United States,41.61667,-87.41667,180.1,6,26,"(26, 6)"
682,769,WBAN:53870,"GASTONIA MUNICIPAL AIRPORT, NC US",2005-12-31,2018-08-18,North Carolina,United States,35.196670000000005,-81.15583000000001,242.9,12,30,"(30, 12)"
684,772,WBAN:04854,"GAYLORD OTSEGO CO AIRPORT, MI US",1999-08-31,2018-08-18,Michigan,United States,45.01333,-84.70138999999998,406.9,3,28,"(28, 3)"
687,776,WBAN:00391,"GEORGETOWN CO AIRPORT, SC US",2013-12-31,2018-08-18,South Carolina,United States,33.317,-79.31700000000002,12.2,13,31,"(31, 13)"
689,778,WBAN:13764,"GEORGETOWN SUSSEX CO AIRPORT, DE US",2005-12-31,2018-08-18,Delaware,United States,38.689170000000004,-75.35916999999998,15.5,9,34,"(34, 9)"
693,784,WBAN:53982,"GILMER MUNICIPAL AIRPORT, TX US",2005-12-31,2018-08-18,Texas,United States,32.698890000000006,-94.94889,126.5,14,20,"(20, 14)"
694,785,WBAN:94008,"GLASGOW INTERNATIONAL AIRPORT, MT US",1942-12-09,2018-08-18,Montana,United States,48.2138,-106.6214,696.5,0,12,"(12, 0)"
695,786,WBAN:00361,"GLASGOW MUNICIPAL AIRPORT, KY US",2012-12-31,2018-08-18,Kentucky,United States,37.033,-85.95,218.2,10,27,"(27, 10)"
697,788,WBAN:53126,"GLENDALE MUNICIPAL AIRPORT, AZ US",2005-12-31,2018-08-18,Arizona,United States,33.52722,-112.295,324.9000000000001,13,8,"(8, 13)"
698,789,WBAN:24087,"GLENDIVE DAWSON COMMUNITY AIRPORT, MT US",2005-12-31,2018-08-18,Montana,United States,47.13333,-104.8,748.9,1,13,"(13, 1)"
699,790,WBAN:14750,"GLENS FALLS AIRPORT, NY US",1972-12-31,2018-08-18,New York,United States,43.33845,-73.61028,97.8,5,35,"(35, 5)"
701,793,WBAN:00135,"GNOSS FIELD AIRPORT, CA US",2014-07-30,2018-08-18,California,United States,38.15,-122.55,1.2,9,1,"(1, 9)"
702,794,WBAN:53893,"GOLDEN TRIANGLE, MS US",2005-12-31,2018-08-18,Mississippi,United States,33.45,-88.58332999999998,80.5,13,25,"(25, 13)"
704,796,WBAN:03708,"GOLDSBORO WAYNE MUNICIPAL AIRPORT, NC US",2005-12-31,2018-08-18,North Carolina,United States,35.46028,-77.96472,40.8,12,32,"(32, 12)"
705,797,WBAN:23065,"GOODLAND RENNER FIELD, KS US",1956-12-31,2018-08-18,Kansas,United States,39.36722,-101.69333,1114.3,8,16,"(16, 8)"
706,798,WBAN:04994,"GOODRIDGE 12 NNW, MN US",2003-08-19,2018-08-16,Minnesota,United States,48.3055,-95.8744,350.5,0,20,"(20, 0)"
708,800,WBAN:14829,"GOSHEN MUNICIPAL AIRPORT, IN US",1998-12-31,2018-08-18,Indiana,United States,41.5333,-85.78330000000003,253.0,6,27,"(27, 6)"
710,802,WBAN:53977,"GRANBURY MUNICIPAL AIRPORT, TX US",2005-12-31,2018-08-18,Texas,United States,32.44444,-97.81694,237.1,14,18,"(18, 14)"
711,803,WBAN:03195,"GRAND CANYON NATIONAL PARK AIRPORT, AZ US",2005-12-31,2018-08-18,Arizona,United States,35.94611,-112.15472,2013.5,11,8,"(8, 11)"
713,805,WBAN:14916,"GRAND FORKS INTERNATIONAL AIRPORT, ND US",1956-12-31,2018-08-18,North Dakota,United States,47.94280000000001,-97.1839,256.6,1,19,"(19, 1)"
715,810,WBAN:23066,"GRAND JUNCTION WALKER FIELD, CO US",1956-12-31,2018-08-18,Colorado,United States,39.1342,-108.54,1480.7,8,11,"(11, 8)"
717,812,WBAN:94992,"GRAND MARAIS, MN US",2005-12-31,2018-08-18,Minnesota,United States,47.74722,-90.34444,185.9,1,24,"(24, 1)"
720,815,WBAN:94919,"GRAND RAPIDS ITASCA CO AIRPORT, MN US",2005-12-31,2018-08-18,Minnesota,United States,47.21111,-93.50972,413.0,1,21,"(21, 1)"
721,816,WBAN:04999,"GRANITE FALLS MUNICIPAL AIRPORT LENZEN ROE MEMORIAL FIELD, MN US",2005-12-31,2018-08-18,Minnesota,United States,44.75333,-95.55611,319.1,3,20,"(20, 3)"
722,818,WBAN:00481,"GRANITE PEAK FILLMORE AIRPORT, UT US",2014-07-29,2018-08-17,Utah,United States,38.95813,-112.36313,1519.4,9,8,"(8, 9)"
723,819,WBAN:00387,"GRANT CO REGIONAL AIRPORT OGILVIE FIELD, OR US",2013-12-31,2018-08-18,Oregon,United States,44.4,-118.96700000000001,1127.2,4,3,"(3, 4)"
724,821,WBAN:93057,"GRANTS MILAN MUNICIPAL AIRPORT, NM US",1947-12-31,2018-08-18,New Mexico,United States,35.16528,-107.90222,1987.3,12,11,"(11, 12)"
725,822,WBAN:24201,"GRAY ARMY AIR FIELD, WA US",1960-05-31,2018-08-18,Washington,United States,47.08333,-122.58333,91.4,1,1,"(1, 1)"
727,824,WBAN:53967,"GRAYSON CO AIRPORT SHERMAN DENISON, TX US",2005-12-31,2018-08-18,Texas,United States,33.71417,-96.67361,228.3,13,19,"(19, 13)"
729,826,WBAN:24143,"GREAT FALLS AIRPORT, MT US",1956-12-31,2018-08-18,Montana,United States,47.4733,-111.3822,1116.8,1,9,"(9, 1)"
730,827,WBAN:04880,"GREATER KANKAKEE AIRPORT, IL US",2005-12-31,2018-08-18,Illinois,United States,41.121390000000005,-87.84611,191.7,7,25,"(25, 7)"
731,828,WBAN:24051,"GREELEY WELD CO AIRPORT, CO US",2005-12-31,2018-08-18,Colorado,United States,40.43556,-104.63194,1431.6,7,13,"(13, 7)"
732,829,WBAN:14898,"GREEN BAY A S INTERNATIONAL AIRPORT, WI US",1949-12-31,2018-08-18,Wisconsin,United States,44.47940000000001,-88.1366,209.4,4,25,"(25, 4)"
733,832,WBAN:13723,"GREENSBORO AIRPORT, NC US",1945-10-31,2018-08-18,North Carolina,United States,36.09690000000001,-79.9432,271.3,11,31,"(31, 11)"
735,834,WBAN:13939,"GREENVILLE ASOS, MS US",1942-01-19,2018-08-18,Mississippi,United States,33.4825,-90.98528,39.0,13,23,"(23, 13)"
738,837,WBAN:63874,"GREENVILLE MAC CRENSHAW MEMORIAL AIRPORT, AL US",2006-08-31,2018-08-18,Alabama,United States,31.84556,-86.61082999999998,137.5,15,26,"(26, 15)"
739,838,WBAN:94626,"GREENVILLE MAINE FORESTRY SERVICE, ME US",2005-12-31,2018-08-18,Maine,United States,45.46222,-69.59528,316.1,3,38,"(38, 3)"
740,839,WBAN:13926,"GREENVILLE MUNICIPAL AIRPORT MAJORS FIELD, TX US",2005-12-31,2018-08-18,Texas,United States,33.06778,-96.06528,163.1,14,19,"(19, 14)"
742,841,WBAN:53874,"GREENWOOD CO AIRPORT, SC US",2005-12-31,2018-08-18,South Carolina,United States,34.24861,-82.15916999999999,192.3,13,29,"(29, 13)"
743,842,WBAN:13978,"GREENWOOD LEFLORE AIRPORT, MS US",1943-02-04,2018-08-18,Mississippi,United States,33.496300000000005,-90.0866,40.5,13,24,"(24, 13)"
744,843,WBAN:24048,"GREYBULL SOUTH BIG HORN CO AIRPORT, WY US",2005-12-31,2018-08-18,Wyoming,United States,44.516940000000005,-108.08221999999999,1198.8,4,11,"(11, 4)"
745,844,WBAN:00339,"GRIFFIN SPALDING CO AIRPORT, GA US",2012-12-31,2018-08-18,Georgia,United States,33.227000000000004,-84.275,292.3,14,28,"(28, 14)"
746,845,WBAN:14976,"GRINNELL, IA US",2006-08-30,2018-08-18,Iowa,United States,41.71667,-92.7,307.2,6,22,"(22, 6)"
747,846,WBAN:03870,"GRNVL SPART INTERNATIONAL AIRPORT, SC US",1962-10-14,2018-08-18,South Carolina,United States,34.8842,-82.2209,287.4000000000001,12,29,"(29, 12)"
748,847,WBAN:54819,"GROSSE ILE MUNICIPAL AIRPORT, MI US",2005-12-31,2018-08-18,Michigan,United States,42.09861,-83.16111,178.9,6,29,"(29, 6)"
750,849,WBAN:53941,"GROVE MUNICIPAL AIRPORT, OK US",2005-12-31,2018-08-18,Oklahoma,United States,36.605,-94.73833,253.9,11,20,"(20, 11)"
752,851,WBAN:93874,"GULFPORT BILOXI AIRPORT, MS US",2004-12-31,2018-08-18,Mississippi,United States,30.411900000000006,-89.08080000000002,12.8,16,24,"(24, 16)"
754,854,WBAN:53913,"GUTHRIE MUNICIPAL AIRPORT, OK US",2005-12-31,2018-08-18,Oklahoma,United States,35.8517,-97.4142,325.5,11,19,"(19, 11)"
755,855,WBAN:03030,"GUYMON MUNICIPAL AIRPORT, OK US",2005-12-31,2018-08-18,Oklahoma,United States,36.681670000000004,-101.50528,951.9,11,16,"(16, 11)"
756,856,WBAN:94836,"GWINN K I SAWYER AFB, MI US",2005-12-31,2018-08-18,Michigan,United States,46.35,-87.4,372.2,2,26,"(26, 2)"
757,857,WBAN:00150,"GWINNER ROGER MELROE FIELD AIRPORT, ND US",2014-06-30,2018-08-18,North Dakota,United States,46.217,-97.633,386.2,2,18,"(18, 2)"
758,858,WBAN:00221,"H A CLARK MEMORIAL FIELD AIRPORT, AZ US",2013-12-31,2018-08-18,Arizona,United States,35.30000000000001,-112.2,2035.1,12,8,"(8, 12)"
759,859,WBAN:00186,"H L SONNY CALLAHAN AIRPORT, AL US",2013-12-31,2018-08-18,Alabama,United States,30.46,-87.87700000000002,28.0,16,25,"(25, 16)"
760,861,WBAN:93706,"HAGERSTOWN WASHINGTON CO REGIONAL AIRPORT, MD US",2005-12-31,2018-08-18,Maryland,United States,39.70778,-77.72972,212.8,8,32,"(32, 8)"
761,862,WBAN:94161,"HAILEY FRIEDMAN MEMORIAL AIRPORT, ID US",2005-12-31,2018-08-18,Idaho,United States,43.5,-114.3,1617.3,5,7,"(7, 5)"
763,864,WBAN:00231,"HALIFAX NORTHAMPTON REGIONAL AIRPORT, NC US",2013-12-31,2018-08-18,North Carolina,United States,36.33,-77.635,44.2,11,33,"(33, 11)"
764,865,WBAN:53938,"HALLIBURTON FIELD AIRPORT, OK US",2005-12-31,2018-08-18,Oklahoma,United States,34.47083,-97.95083000000001,339.2,12,18,"(18, 12)"
766,867,WBAN:53855,"HAMILTON BUTLER CO REGIONAL AIRPORT, OH US",2005-12-31,2018-08-18,Ohio,United States,39.36444,-84.52472,193.2,8,28,"(28, 8)"
767,868,WBAN:00357,"HAMILTON MUNICIPAL AIRPORT, TX US",2013-12-31,2018-08-18,Texas,United States,31.666,-98.149,396.2,15,18,"(18, 15)"
768,869,WBAN:03908,"HAMMOND MUNICIPAL AIRPORT, LA US",2005-12-31,2018-08-18,Louisiana,United States,30.52083,-90.4175,13.4,16,23,"(23, 16)"
769,870,WBAN:00154,"HAMPTON ROADS EXECUTIVE AIRPORT, VA US",2012-12-31,2018-08-18,Virginia,United States,36.783,-76.45,7.0,10,33,"(33, 10)"
770,871,WBAN:14858,"HANCOCK HOUGHTON CO AIRPORT, MI US",1956-12-31,2018-08-18,Michigan,United States,47.16861,-88.48889,333.8,1,25,"(25, 1)"
